Best Array,Sample Name
a550810-4361240-070819-472_G04,Schneider_B57
a550810-4361240-070819-472_G05,Schneider_B60
a550810-4361240-070819-472_G06,Schneider_B61
a550810-4361240-070819-472_G07,Schneider_B62
a550810-4361240-070819-472_G08,Schneider_B65
a550810-4361240-070819-472_G09,Schneider_B66
a550810-4361240-070819-472_G10,Schneider_B67
a550810-4361240-070819-472_G11,Schneider_B70
a550810-4361240-070819-472_G12,Schneider_B71
a550810-4361240-070819-472_H01,Schneider_B72
a550810-4361240-070819-472_H02,Schneider_B75
a550810-4361240-070819-472_H03,Schneider_B76
a550810-4361240-070819-472_H04,Schneider_B77
a550810-4361240-070819-472_H05,Schneider_B80
a550810-4361240-070819-472_H06,Schneider_B81
a550810-4361240-070819-472_H07,Schneider_B82
a550810-4361240-070819-472_H08,Schneider_B85
a550810-4361240-070819-472_H09,Schneider_B86
a550810-4361240-070819-472_H10,Schneider_B87
a550810-4361240-070819-472_H11,Schneider_B90
a550810-4361240-070819-472_H12,Schneider_B91
a550810-4369995-123019-008_A01,Schneider_H471
a550810-4369995-123019-008_A02,Schneider_H472
a550810-4369995-123019-008_A03,Schneider_H473
a550810-4369995-123019-008_A04,Schneider_H474
a550810-4369995-123019-008_A05,Schneider_H475
a550810-4369995-123019-008_A06,Schneider_H476
a550810-4369995-123019-008_A07,Schneider_H477
a550810-4369995-123019-008_A08,Schneider_H478
a550810-4369995-123019-008_A09,Schneider_H479
